PART NO.,PART NAME,QTY,SC,MODEL CODE,OUTPUT,SPAN,MATERIAL,P-CONNECT,BOLT-NUT,INSTALL,HOUSING,E-CONNECT,INDICATOR,BRACKET,OPTION:AND,OPTION:OR,OPTION:NOT
F9900TK,FLANGE,1,,EJA110E,,"H,L,M,V",S,0,,9,,,,"B,J,N","GS,N1",,"HD,HD2,UN"
F9900TK,FLANGE,1,,"EJA430E,EJA310E",,,S,0,,9,,,,"B,J,N","GS,N1",,UN
F9997DE,FLANGE,1,,"EJA310E,EJA310J",,,S,"B,G",,9,,,,,,,
F9997DA,FLANGE,1,,"EJA110E,EJA110J",,,S,T,,9,,,,,,,
F9340RA,FLANGE,1,,EJA110E,,F,S,5,,8,,,,,GS,,UN
F9900TL,Flange for option /U1,1,,EJA110E,,"H,L,M,V",S,5,,8,,,,,GS,,"HD,HD2,UN"
F9900TL,Flange for option /U1,1,,"EJA430E,EJA310E",,,S,5,,8,,,,,GS,,UN
F9340RA,FLANGE,1,,EJA110E,,F,S,5,,9,,,,,GS,,"N1,UN"
F9900TL,Flange for option /U1,1,,EJA110E,,"H,L,M,V",S,5,,9,,,,,GS,,"HD,HD2,N1,UN"
F9900TL,Flange for option /U1,1,,"EJA430E,EJA310E",,,S,5,,9,,,,,GS,,"N1,UN"
F9340RA,FLANGE,1,,EJA110E,,F,S,5,,9,,,,"B,J,N","GS,N1",,UN
F9900TL,Flange for option /U1,1,,EJA110E,,"H,L,M,V",S,5,,9,,,,"B,J,N","GS,N1",,"HD,HD2,UN"
F9900TL,Flange for option /U1,1,,"EJA430E,EJA310E",,,S,5,,9,,,,"B,J,N","GS,N1",,UN
F9340VP,FLANGE,1,,"EJA110E,EJA110J,EJA430E,EJA430J",,,"H,M,T","0,1,2",,"8,9",,,,,,,"N1,N2,N3,UN"
F9340VN,FLANGE,1,,"EJA110E,EJA110J,EJA430E,EJA430J",,,"H,M,T","0,1,2",,"2,3,6,7",,,,,,,UN
F9340VS,FLANGE,1,,"EJA110E,EJA110J,EJA430E,EJA430J",,,"A,D","0,1,2",,"8,9",,,,,,,"N1,N2,N3,UN"
