Plant,Plant Description,Storage Location,Storage Location Description,Material Number,MS Code,Material Description,Sales Document,Sales Document Item,Linkage Number,Stock Quantity,Unit,Serial Number,Stock Amount
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000007,CPA110Y-NFS5G-9NNNN,BOTTOM WORKS: CPA110Y-NFS5G-9NNNN,,0,,1,ST,90ZB24484,"22,645.32"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000007,CPA110Y-NFS5G-9NNNN,BOTTOM WORKS: CPA110Y-NFS5G-9NNNN,,0,,1,ST,90ZB24485,"22,645.32"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000007,CPA110Y-NFS5G-9NNNN,BOTTOM WORKS: CPA110Y-NFS5G-9NNNN,,0,,1,ST,90ZB24486,"22,645.32"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000255,CPA110Y-NHSNN-NNNNN,BOTTOM WORKS: CPA110Y-NHSNN-NNNNN,,0,,1,ST,90ZB24487,"11,508.82"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000255,CPA110Y-NHSNN-NNNNN,BOTTOM WORKS: CPA110Y-NHSNN-NNNNN,,0,,1,ST,90ZB24488,"11,508.82"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000255,CPA110Y-NHSNN-NNNNN,BOTTOM WORKS: CPA110Y-NHSNN-NNNNN,,0,,1,ST,90ZB24489,"11,508.82"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000255,CPA110Y-NHSNN-NNNNN,BOTTOM WORKS: CPA110Y-NHSNN-NNNNN,,0,,1,ST,90ZB24490,"11,508.82"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000255,CPA110Y-NHSNN-NNNNN,BOTTOM WORKS: CPA110Y-NHSNN-NNNNN,,0,,1,ST,90ZB24491,"11,508.82"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000255,CPA110Y-NHSNN-NNNNN,BOTTOM WORKS: CPA110Y-NHSNN-NNNNN,,0,,1,ST,90ZB24492,"11,508.82"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000255,CPA110Y-NHSNN-NNNNN,BOTTOM WORKS: CPA110Y-NHSNN-NNNNN,,0,,1,ST,90ZB24493,"11,508.82"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000255,CPA110Y-NHSNN-NNNNN,BOTTOM WORKS: CPA110Y-NHSNN-NNNNN,,0,,1,ST,90ZB24494,"11,508.82"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000255,CPA110Y-NHSNN-NNNNN,BOTTOM WORKS: CPA110Y-NHSNN-NNNNN,,0,,1,ST,90ZB24495,"11,508.82"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000255,CPA110Y-NHSNN-NNNNN,BOTTOM WORKS: CPA110Y-NHSNN-NNNNN,,0,,1,ST,90ZB24496,"11,508.82"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000010,CPA110Y-NHSNN-NNNNN/K3,BOTTOM WORKS: CPA110Y-NHSNN-NNNNN/K3,,0,,1,ST,90ZB24497,"14,830.52"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000254,CPA110Y-NMSNN-NNNNN,BOTTOM WORKS: CPA110Y-NMSNN-NNNNN,,0,,1,ST,90ZB24518,"11,508.82"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000254,CPA110Y-NMSNN-NNNNN,BOTTOM WORKS: CPA110Y-NMSNN-NNNNN,,0,,1,ST,90ZB24519,"11,508.82"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000254,CPA110Y-NMSNN-NNNNN,BOTTOM WORKS: CPA110Y-NMSNN-NNNNN,,0,,1,ST,90ZB24520,"11,508.82"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000254,CPA110Y-NMSNN-NNNNN,BOTTOM WORKS: CPA110Y-NMSNN-NNNNN,,0,,1,ST,90ZB24521,"11,508.82"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000254,CPA110Y-NMSNN-NNNNN,BOTTOM WORKS: CPA110Y-NMSNN-NNNNN,,0,,1,ST,90ZB24522,"11,508.82"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000254,CPA110Y-NMSNN-NNNNN,BOTTOM WORKS: CPA110Y-NMSNN-NNNNN,,0,,1,ST,90ZB24523,"11,508.82"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000254,CPA110Y-NMSNN-NNNNN,BOTTOM WORKS: CPA110Y-NMSNN-NNNNN,,0,,1,ST,90ZB24524,"11,508.82"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000254,CPA110Y-NMSNN-NNNNN,BOTTOM WORKS: CPA110Y-NMSNN-NNNNN,,0,,1,ST,90ZB24525,"11,508.82"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000254,CPA110Y-NMSNN-NNNNN,BOTTOM WORKS: CPA110Y-NMSNN-NNNNN,,0,,1,ST,90ZB24526,"11,508.82"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000254,CPA110Y-NMSNN-NNNNN,BOTTOM WORKS: CPA110Y-NMSNN-NNNNN,,0,,1,ST,90ZB24527,"11,508.82"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000254,CPA110Y-NMSNN-NNNNN,BOTTOM WORKS: CPA110Y-NMSNN-NNNNN,,0,,1,ST,90ZB24528,"11,508.82"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000254,CPA110Y-NMSNN-NNNNN,BOTTOM WORKS: CPA110Y-NMSNN-NNNNN,,0,,1,ST,90ZB24529,"11,508.82"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000254,CPA110Y-NMSNN-NNNNN,BOTTOM WORKS: CPA110Y-NMSNN-NNNNN,,0,,1,ST,90ZB24530,"11,508.82"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000254,CPA110Y-NMSNN-NNNNN,BOTTOM WORKS: CPA110Y-NMSNN-NNNNN,,0,,1,ST,90ZB24531,"11,508.82"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000254,CPA110Y-NMSNN-NNNNN,BOTTOM WORKS: CPA110Y-NMSNN-NNNNN,,0,,1,ST,90ZB24532,"11,508.82"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000254,CPA110Y-NMSNN-NNNNN,BOTTOM WORKS: CPA110Y-NMSNN-NNNNN,,0,,1,ST,90ZB24533,"11,508.82"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000254,CPA110Y-NMSNN-NNNNN,BOTTOM WORKS: CPA110Y-NMSNN-NNNNN,,0,,1,ST,90ZB24534,"11,508.82"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000254,CPA110Y-NMSNN-NNNNN,BOTTOM WORKS: CPA110Y-NMSNN-NNNNN,,0,,1,ST,90ZB24535,"11,508.82"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000254,CPA110Y-NMSNN-NNNNN,BOTTOM WORKS: CPA110Y-NMSNN-NNNNN,,0,,1,ST,90ZB24536,"11,508.82"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000254,CPA110Y-NMSNN-NNNNN,BOTTOM WORKS: CPA110Y-NMSNN-NNNNN,,0,,1,ST,90ZB24537,"11,508.82"
2Q00,YIL,9002,Receive MFG KD,CPA530Y_0000000007,CPA530Y-NDS4N-0NNNN,BOTTOM WORKS: CPA530Y-NDS4N-0NNNN,,0,,1,ST,90ZB24804,"12,107.26"
2Q00,YIL,9002,Receive MFG KD,CPA530Y_0000000007,CPA530Y-NDS4N-0NNNN,BOTTOM WORKS: CPA530Y-NDS4N-0NNNN,,0,,1,ST,90ZB24805,"12,107.26"
2Q00,YIL,9002,Receive MFG KD,CPA530Y_0000000007,CPA530Y-NDS4N-0NNNN,BOTTOM WORKS: CPA530Y-NDS4N-0NNNN,,0,,1,ST,90ZB24806,"12,107.26"
2Q00,YIL,9002,Receive MFG KD,CPA530Y_0000000007,CPA530Y-NDS4N-0NNNN,BOTTOM WORKS: CPA530Y-NDS4N-0NNNN,,0,,1,ST,90ZB24807,"12,107.26"
2Q00,YIL,9002,Receive MFG KD,CPA530Y_0000000007,CPA530Y-NDS4N-0NNNN,BOTTOM WORKS: CPA530Y-NDS4N-0NNNN,,0,,1,ST,90ZB24808,"12,107.26"
2Q00,YIL,9002,Receive MFG KD,CPA530Y_0000000007,CPA530Y-NDS4N-0NNNN,BOTTOM WORKS: CPA530Y-NDS4N-0NNNN,,0,,1,ST,90ZB24809,"12,107.26"
2Q00,YIL,9002,Receive MFG KD,CPA530Y_0000000007,CPA530Y-NDS4N-0NNNN,BOTTOM WORKS: CPA530Y-NDS4N-0NNNN,,0,,1,ST,90ZB24810,"12,107.26"
2Q00,YIL,9002,Receive MFG KD,CPA530Y_0000000003,CPA530Y-NBS4N-0NNNN,BOTTOM WORKS: CPA530Y-NBS4N-0NNNN,,0,,1,ST,90ZB24852,"12,107.26"
2Q00,YIL,9002,Receive MFG KD,CPA530Y_0000000003,CPA530Y-NBS4N-0NNNN,BOTTOM WORKS: CPA530Y-NBS4N-0NNNN,,0,,1,ST,90ZB24853,"12,107.26"
2Q00,YIL,9002,Receive MFG KD,CPA530Y_0000000003,CPA530Y-NBS4N-0NNNN,BOTTOM WORKS: CPA530Y-NBS4N-0NNNN,,0,,1,ST,90ZB24854,"12,107.26"
2Q00,YIL,9002,Receive MFG KD,CPA530Y_0000000003,CPA530Y-NBS4N-0NNNN,BOTTOM WORKS: CPA530Y-NBS4N-0NNNN,,0,,1,ST,90ZB24855,"12,107.26"
2Q00,YIL,9002,Receive MFG KD,CPA530Y_0000000003,CPA530Y-NBS4N-0NNNN,BOTTOM WORKS: CPA530Y-NBS4N-0NNNN,,0,,1,ST,90ZB24856,"12,107.26"
2Q00,YIL,9002,Receive MFG KD,CPA530Y_0000000003,CPA530Y-NBS4N-0NNNN,BOTTOM WORKS: CPA530Y-NBS4N-0NNNN,,0,,1,ST,90ZB24857,"12,107.26"
2Q00,YIL,9002,Receive MFG KD,CPA530Y_0000000003,CPA530Y-NBS4N-0NNNN,BOTTOM WORKS: CPA530Y-NBS4N-0NNNN,,0,,1,ST,90ZB24858,"12,107.26"
2Q00,YIL,9002,Receive MFG KD,CPA530Y_0000000003,CPA530Y-NBS4N-0NNNN,BOTTOM WORKS: CPA530Y-NBS4N-0NNNN,,0,,1,ST,90ZB24859,"12,107.26"
2Q00,YIL,9002,Receive MFG KD,CPA530Y_0000000003,CPA530Y-NBS4N-0NNNN,BOTTOM WORKS: CPA530Y-NBS4N-0NNNN,,0,,1,ST,90ZB24860,"12,107.26"
2Q00,YIL,9002,Receive MFG KD,CPA530Y_0000000003,CPA530Y-NBS4N-0NNNN,BOTTOM WORKS: CPA530Y-NBS4N-0NNNN,,0,,1,ST,90ZB24861,"12,107.26"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000256,CPA110Y-NVSNN-NNNNN,BOTTOM WORKS: CPA110Y-NVSNN-NNNNN,,0,,1,ST,90ZB24896,"15,508.22"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000256,CPA110Y-NVSNN-NNNNN,BOTTOM WORKS: CPA110Y-NVSNN-NNNNN,,0,,1,ST,90ZB24898,"15,508.22"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000256,CPA110Y-NVSNN-NNNNN,BOTTOM WORKS: CPA110Y-NVSNN-NNNNN,,0,,1,ST,90ZB24899,"15,508.22"
